,latency,x_pos,z_pos,x_conv,z_conv,nodeNr,in_nodeRadius,neighbours,num_neighbours,closest_to_nodeCentroid,node_1st_half,time_diff,time_diff_normalized,distance_to_next,distance_difference
78,14.605,-46.29,62.58,99.145,85.67999999999999,76.0,1,"[56, 60, 90]",3.0,0,0,33.565,0.8389991501274808,3.729596115434888,0.16817030058841942
79,14.716,-46.78,62.83,99.02250000000001,85.74249999999999,76.0,1,"[56, 60, 90]",3.0,0,0,33.454,0.8362245663150527,3.8671188408296278,0.13752272539473998
80,14.827,-47.26,63.11,98.9025,85.8125,76.0,1,"[56, 60, 90]",3.0,0,0,33.343,0.8334499825026247,4.006043280724134,0.13892443989450598
81,14.939,-47.72,63.42,98.7875,85.89,76.0,1,"[56, 60, 90]",3.0,0,0,33.231,0.8306504024396341,4.144720063207728,0.1386767824835946
82,15.049,-48.19,63.71,98.67,85.96249999999999,76.0,1,"[56, 60, 90]",3.0,0,0,33.121,0.8279008148777683,4.282787075922558,0.13806701271482957
83,15.16,-48.66,64.01,98.55250000000001,86.0375,,0,,,0,0,33.010000000000005,0.8251262310653403,4.4221830945170595,0.13939601859450157
84,15.271,-49.13,64.3,98.435,86.11,,0,,,0,0,32.899,0.8223516472529121,4.560250107231909,0.1380670127148491
85,15.382,-49.6,64.59,98.3175,86.1825,,0,,,0,0,32.788000000000004,0.819577063440484,4.698317119946758,0.1380670127148491
86,15.493,-50.08,64.88,98.1975,86.255,,0,,,0,0,32.677,0.8168024796280557,4.8385178688748445,0.14020074892808676
87,15.605,-50.55,65.18,98.08,86.33,,0,,,0,0,32.565,0.8140028995650652,4.9779138874693585,0.139396018594514
88,15.716,-51.02,65.47,97.9625,86.4025,,0,,,0,0,32.454,0.8112283157526371,5.115980900184196,0.13806701271483757
89,15.827,-51.49,65.76,97.845,86.475,,0,,,0,0,32.343,0.8084537319402091,5.254047912899038,0.138067012714842
90,15.938,-51.97,66.04,97.725,86.545,,0,,,0,0,32.232,0.8056791481277809,5.392972352793544,0.13892443989450598
91,16.05,-52.45,66.31,97.605,86.6125,,0,,,0,0,32.120000000000005,0.8028795680647904,5.530654050923677,0.13768169813013298
92,16.16,-52.95,66.57,97.48,86.6775,,0,,,0,0,32.010000000000005,0.8001299805029247,5.671544078959729,0.14089002803605233
93,16.271,-53.45,66.8,97.355,86.735,,0,,,0,0,31.899,0.7973553966904965,5.809134958017902,0.13759087905817236
94,16.382,-53.96,67.01,97.2275,86.7875,,0,,,0,0,31.788,0.7945808128780683,5.947020780349274,0.1378858223313726
95,16.493,-54.49,67.18,97.095,86.83,,0,,,0,0,31.677000000000003,0.7918062290656402,6.08616998085004,0.13914920050076596
96,16.604,-55.02,67.33,96.9625,86.86749999999999,,0,,,0,0,31.566000000000003,0.7890316452532121,6.223874374389236,0.13770439353919617
97,16.715,-55.55,67.44,96.83,86.895,,0,,,0,0,31.455000000000002,0.7862570614407839,6.359198060416488,0.13532368602725153
